
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2024-10-25 20:42:24 /assets/vendor/bootstrap/js/bootstrap.bundle.min.js .................................. ~ 7.56ms
  2024-10-25 20:42:24 /assets/vendor/chart.js/chart.umd.js ................................................. ~ 0.42ms
  2024-10-25 20:42:24 /assets/vendor/echarts/echarts.min.js ................................................ ~ 0.36ms
  2024-10-25 20:42:24 /assets/vendor/quill/quill.js ........................................................ ~ 0.41ms
  2024-10-25 20:42:24 /assets/vendor/simple-datatables/simple-datatables.js ................................ ~ 2.56ms
  2024-10-25 20:42:24 /assets/vendor/tinymce/tinymce.min.js ................................................ ~ 4.02ms
  2024-10-25 20:42:24 /assets/vendor/php-email-form/validate.js ............................................ ~ 0.40ms
  2024-10-25 20:42:24 /assets/js/main.js ................................................................... ~ 0.35ms
  2024-10-25 20:42:24 /assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6  ~ 0.38ms
  2024-10-25 20:42:24 /assets/img/logo.png ................................................................. ~ 1.49ms
  2024-10-25 20:42:35 /submit-for-preparatory-study-medical/list ......................................... ~ 514.11ms
  2024-10-25 20:42:35 /assets/vendor/bootstrap/css/bootstrap.min.css ..................................... ~ 516.57ms
  2024-10-25 20:42:35 /assets/vendor/bootstrap-icons/bootstrap-icons.css ................................... ~ 4.25ms
  2024-10-25 20:42:35 /assets/vendor/boxicons/css/boxicons.min.css ......................................... ~ 6.48ms
  2024-10-25 20:42:35 /assets/vendor/quill/quill.snow.css .................................................. ~ 8.14ms
  2024-10-25 20:42:35 /assets/vendor/quill/quill.bubble.css ................................................ ~ 6.20ms
  2024-10-25 20:42:35 /assets/vendor/remixicon/remixicon.css ............................................... ~ 6.81ms
  2024-10-25 20:42:35 /assets/vendor/simple-datatables/style.css ........................................... ~ 0.45ms
  2024-10-25 20:42:35 /assets/css/style.css ................................................................ ~ 2.39ms
  2024-10-25 20:42:35 /assets/img/au_logo.jpg .............................................................. ~ 0.45ms
  2024-10-25 20:42:35 /assets/img/profile-img.jpg .......................................................... ~ 3.33ms
  2024-10-25 20:42:35 /assets/vendor/bootstrap/js/bootstrap.bundle.min.js .................................. ~ 5.32ms
  2024-10-25 20:42:35 /assets/vendor/apexcharts/apexcharts.min.js .......................................... ~ 8.31ms
  2024-10-25 20:42:35 /assets/vendor/chart.js/chart.umd.js ................................................. ~ 1.11ms
  2024-10-25 20:42:35 /assets/vendor/echarts/echarts.min.js ................................................ ~ 3.70ms
  2024-10-25 20:42:35 /assets/vendor/quill/quill.js ........................................................ ~ 0.50ms
  2024-10-25 20:42:35 /assets/vendor/simple-datatables/simple-datatables.js ................................ ~ 2.60ms
  2024-10-25 20:42:35 /assets/vendor/tinymce/tinymce.min.js ................................................ ~ 0.44ms
  2024-10-25 20:42:35 /assets/vendor/php-email-form/validate.js ............................................ ~ 0.39ms
  2024-10-25 20:42:35 /assets/js/main.js ................................................................... ~ 0.34ms
  2024-10-25 20:42:35 /assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6  ~ 0.32ms
  2024-10-25 20:42:51 /submit-for-preparatory-study-medical/add-new ...................................... ~ 504.97ms
  2024-10-25 20:42:52 /assets/vendor/bootstrap/css/bootstrap.min.css ........................................... ~ 1s
  2024-10-25 20:42:52 /assets/vendor/bootstrap-icons/bootstrap-icons.css ................................... ~ 4.07ms
  2024-10-25 20:42:52 /assets/vendor/boxicons/css/boxicons.min.css ......................................... ~ 6.95ms
  2024-10-25 20:42:52 /assets/vendor/quill/quill.snow.css .................................................. ~ 9.25ms
  2024-10-25 20:42:52 /assets/vendor/quill/quill.bubble.css ............................................... ~ 11.49ms
  2024-10-25 20:42:52 /assets/vendor/remixicon/remixicon.css .............................................. ~ 13.71ms
  2024-10-25 20:42:52 /assets/vendor/simple-datatables/style.css ........................................... ~ 0.43ms
  2024-10-25 20:42:52 /assets/css/style.css ................................................................ ~ 3.50ms
  2024-10-25 20:42:52 /assets/img/au_logo.jpg .............................................................. ~ 0.59ms
  2024-10-25 20:42:52 /assets/img/profile-img.jpg .......................................................... ~ 2.97ms
  2024-10-25 20:42:52 /assets/vendor/bootstrap/js/bootstrap.bundle.min.js .................................. ~ 0.41ms
  2024-10-25 20:42:52 /assets/vendor/apexcharts/apexcharts.min.js .......................................... ~ 2.17ms
  2024-10-25 20:42:52 /assets/vendor/chart.js/chart.umd.js ................................................. ~ 0.42ms
  2024-10-25 20:42:52 /assets/vendor/echarts/echarts.min.js ................................................ ~ 2.92ms
  2024-10-25 20:42:52 /assets/vendor/quill/quill.js ........................................................ ~ 0.54ms
  2024-10-25 20:42:52 /assets/vendor/simple-datatables/simple-datatables.js ................................ ~ 0.39ms
  2024-10-25 20:42:52 /assets/vendor/php-email-form/validate.js ............................................ ~ 1.88ms
  2024-10-25 20:42:52 /assets/vendor/tinymce/tinymce.min.js ................................................ ~ 3.45ms
  2024-10-25 20:42:52 /assets/js/main.js ................................................................... ~ 0.38ms
  2024-10-25 20:42:52 /assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6  ~ 0.51ms
  2024-10-25 20:42:56 /submit-for-preparatory-study-medical/list/export .................................. ~ 513.18ms
  2024-10-25 20:42:56 ...................................................................................... ~ 2m 37s
  2024-10-25 20:45:33 /submit-for-preparatory-study-medical/list/export .................................. ~ 511.48ms
  2024-10-25 20:45:33 /submit-for-preparatory-study-medical/list/export ........................................ ~ 1s
  2024-10-25 20:45:38 ...................................................................................... ~ 9m 18s
  2024-10-25 20:45:38 ...................................................................................... ~ 9m 18s
  2024-10-25 20:54:56 /submit-for-preparatory-study-medical/list/export ........................................ ~ 1s
  2024-10-25 20:54:56 ...................................................................................... ~ 3m 32s
  2024-10-25 20:58:29 /submit-for-preparatory-study-medical/list/export ........................................ ~ 1s
  2024-10-25 20:58:29 ...................................................................................... ~ 1m 12s
  2024-10-25 20:59:42 /submit-for-preparatory-study-medical/list/export ........................................ ~ 7s
  2024-10-25 20:59:42 ..................................................................................... ~ 23m 25s
  2024-10-25 20:59:50 ..................................................................................... ~ 23m 16s
  2024-10-25 21:23:06 /buy-admission/list ................................................................ ~ 499.71ms
  2024-10-25 21:23:07 /assets/vendor/bootstrap/css/bootstrap.min.css ........................................... ~ 1s
  2024-10-25 21:23:08 /assets/vendor/bootstrap-icons/bootstrap-icons.css ................................... ~ 3.77ms
  2024-10-25 21:23:08 /assets/vendor/boxicons/css/boxicons.min.css ......................................... ~ 6.49ms
  2024-10-25 21:23:08 /assets/vendor/remixicon/remixicon.css ............................................... ~ 8.24ms
  2024-10-25 21:23:08 /assets/vendor/quill/quill.bubble.css ................................................ ~ 9.68ms
  2024-10-25 21:23:08 /assets/vendor/quill/quill.snow.css .................................................. ~ 7.86ms
  2024-10-25 21:23:08 /assets/vendor/simple-datatables/style.css ........................................... ~ 0.34ms
  2024-10-25 21:23:08 /assets/css/style.css ................................................................ ~ 1.81ms
  2024-10-25 21:23:08 /assets/img/au_logo.jpg .............................................................. ~ 0.34ms
  2024-10-25 21:23:08 /assets/img/profile-img.jpg .......................................................... ~ 2.08ms
  2024-10-25 21:23:08 /assets/vendor/bootstrap/js/bootstrap.bundle.min.js .................................. ~ 0.46ms
  2024-10-25 21:23:08 /assets/vendor/apexcharts/apexcharts.min.js .......................................... ~ 6.95ms
  2024-10-25 21:23:08 /assets/vendor/chart.js/chart.umd.js ................................................. ~ 0.32ms
  2024-10-25 21:23:08 /assets/vendor/echarts/echarts.min.js ................................................ ~ 0.29ms
  2024-10-25 21:23:08 /assets/vendor/quill/quill.js ........................................................ ~ 0.41ms
  2024-10-25 21:23:08 /assets/vendor/simple-datatables/simple-datatables.js ................................ ~ 0.40ms
  2024-10-25 21:23:08 /assets/vendor/php-email-form/validate.js ............................................ ~ 0.40ms
  2024-10-25 21:23:08 /assets/vendor/tinymce/tinymce.min.js ................................................ ~ 2.13ms
  2024-10-25 21:23:08 /assets/js/main.js ................................................................... ~ 2.23ms
  2024-10-25 21:23:08 /assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6  ~ 0.39ms
  PHP Fatal error:  Cannot redeclare App\Http\Controllers\StudentDetailsController::submitAdmissionShow() in H:\AU Projects\front_office\app\Http\Controllers\StudentDetailsController.php on line 293
  2024-10-25 21:23:10 /buy-admission/2 ......................................................................... ~ 1s
  2024-10-25 21:23:10 ...................................................................................... ~ 1m 34s
  2024-10-25 21:24:44 /buy-admission/2 ................................................................... ~ 509.49ms
  2024-10-25 21:24:44 /assets/vendor/bootstrap/css/bootstrap.min.css ..................................... ~ 513.81ms
  2024-10-25 21:24:45 /assets/vendor/bootstrap-icons/bootstrap-icons.css ................................... ~ 0.58ms
  2024-10-25 21:24:45 /assets/vendor/boxicons/css/boxicons.min.css ......................................... ~ 2.90ms
  2024-10-25 21:24:45 /assets/vendor/quill/quill.bubble.css ................................................ ~ 5.08ms
  2024-10-25 21:24:45 /assets/vendor/quill/quill.snow.css .................................................. ~ 8.10ms
  2024-10-25 21:24:45 /assets/vendor/remixicon/remixicon.css ............................................... ~ 8.93ms
  2024-10-25 21:24:45 /assets/vendor/simple-datatables/style.css ........................................... ~ 0.34ms
  2024-10-25 21:24:45 /assets/css/style.css ................................................................ ~ 0.33ms
  2024-10-25 21:24:45 /assets/img/au_logo.jpg .............................................................. ~ 0.40ms
  2024-10-25 21:24:45 /assets/img/profile-img.jpg .......................................................... ~ 0.76ms
  2024-10-25 21:24:45 /assets/vendor/bootstrap/js/bootstrap.bundle.min.js .................................. ~ 5.29ms
  2024-10-25 21:24:45 /assets/vendor/apexcharts/apexcharts.min.js ......................................... ~ 10.96ms
  2024-10-25 21:24:45 /assets/vendor/chart.js/chart.umd.js ................................................. ~ 9.98ms
  2024-10-25 21:24:45 /assets/vendor/echarts/echarts.min.js ................................................ ~ 7.58ms
  2024-10-25 21:24:45 /assets/vendor/quill/quill.js ........................................................ ~ 0.68ms
  2024-10-25 21:24:45 /assets/vendor/simple-datatables/simple-datatables.js ................................ ~ 3.64ms
  2024-10-25 21:24:45 /assets/vendor/tinymce/tinymce.min.js ................................................ ~ 0.38ms
  2024-10-25 21:24:45 /assets/vendor/php-email-form/validate.js ............................................ ~ 0.60ms
  2024-10-25 21:24:45 /assets/js/main.js ................................................................... ~ 0.42ms
